Date,HIGH,CLOSE,LOW,OPEN,VOLUME,COUNT
2018-06-05,540,530,510,520,46431400,-1
2018-06-06,565,550,530,535,64196200,-1
2018-06-07,615,590,550,550,90983900,-1
2018-06-08,610,575,570,590,58028200,-1
2018-06-20,595,575,570,580,54048800,-1
2018-06-21,590,580,570,580,37304900,-1
2018-06-22,590,560,540,580,53445500,-1
2018-06-25,580,555,545,560,38709800,-1
2018-06-26,565,550,545,560,19899100,-1
2018-06-27,555,520,470,555,63490300,-1
2018-06-28,535,498,474,525,92250700,-1
2018-06-29,505,498,478,500,46895500,-1
2018-07-02,515,492,490,498,33040400,-1
2018-07-03,510,500,440,490,106178100,-1
2018-07-04,525,510,480,505,82360000,-1
2018-07-05,520,515,498,510,21218900,-1
2018-07-06,515,496,492,515,28611800,-1
2018-07-09,505,498,494,496,37212500,-1
2018-07-10,545,525,492,498,61790400,-1
2018-07-11,530,510,498,530,30829800,-1
2018-07-12,515,505,498,515,24647700,-1
2018-07-13,540,530,500,510,73335700,-1
2018-07-16,565,550,530,540,98176900,-1
2018-07-17,570,535,535,550,59535300,-1
2018-07-18,540,540,515,540,30386900,-1
2018-07-19,555,530,525,540,14528800,-1
2018-07-20,530,525,515,520,13739600,-1
2018-07-23,540,520,515,530,14735000,-1
2018-07-24,540,540,520,520,16645500,-1
2018-07-25,545,545,530,545,18689100,-1
2018-07-26,555,545,540,545,12235700,-1
2018-07-27,555,545,535,550,21572400,-1
2018-07-30,585,570,545,550,67996400,-1
2018-07-31,585,560,555,570,62425500,-1
2018-08-01,570,565,555,565,14777800,-1
2018-08-02,575,570,560,570,20376700,-1
2018-08-03,600,590,565,570,47655200,-1
2018-08-06,645,615,595,595,111552900,-1
2018-08-07,630,615,610,620,47130300,-1
2018-08-08,620,605,600,615,26439400,-1
2018-08-09,620,610,605,605,21788100,-1
2018-08-10,615,600,590,605,30557500,-1
2018-08-13,600,540,525,600,83819200,-1
2018-08-14,565,525,500,525,80265200,-1
2018-08-15,555,540,510,530,43790300,-1
2018-08-16,555,550,530,540,12041200,-1
2018-08-20,585,580,550,570,80546100,-1
2018-08-21,595,585,575,580,24019500,-1
2018-08-23,625,615,570,585,70243500,-1
2018-08-24,625,615,605,620,12942700,-1
2018-08-27,660,640,615,615,102144100,-1
2018-08-28,650,635,630,645,17974800,-1
2018-08-29,640,625,620,640,16715100,-1
2018-08-30,640,620,615,625,16026300,-1
2018-08-31,645,640,585,610,31550100,-1
2018-09-03,645,635,630,640,19910000,-1
2018-09-04,645,630,615,635,32818700,-1
2018-09-05,625,590,555,625,48919000,-1
2018-09-06,605,595,570,585,29466100,-1
2018-09-07,610,600,590,590,18471400,-1
2018-09-10,605,595,590,600,13490300,-1
2018-09-12,605,590,575,600,12692400,-1
2018-09-13,605,590,585,590,18802300,-1
2018-09-14,600,585,585,595,10871200,-1
2018-09-17,600,595,580,590,16034300,-1
2018-09-18,600,595,585,600,10190500,-1
2018-09-19,640,635,595,600,90715500,-1
2018-09-20,665,640,630,640,73248800,-1
2018-09-21,650,625,620,640,25662200,-1
2018-09-24,635,610,610,625,17966600,-1
2018-09-25,625,615,600,610,21662900,-1
2018-09-26,630,630,610,615,100198100,-1
2018-09-27,650,630,615,635,39633600,-1
2018-09-28,635,625,615,635,10577400,-1
2018-10-01,630,620,615,630,10784100,-1
2018-10-02,630,600,600,630,18867100,-1
2018-10-03,615,605,600,600,13771300,-1
2018-10-04,615,610,585,605,12003500,-1
2018-10-05,615,605,600,610,9949600,-1
2018-10-08,610,600,595,605,10932800,-1
2018-10-09,605,595,590,600,11287600,-1
2018-10-10,600,595,585,600,10824100,-1
2018-10-11,590,580,555,590,15581500,-1
2018-10-12,595,580,580,580,13843500,-1
2018-10-15,585,570,565,580,10179000,-1
2018-10-16,575,560,555,570,19439000,-1
2018-10-17,600,590,555,560,31154000,-1
2018-10-18,595,580,575,595,15482400,-1
2018-10-19,590,575,575,580,13226800,-1
2018-10-22,590,565,565,575,15960400,-1
2018-10-23,595,585,565,565,24557700,-1
2018-10-24,595,575,565,585,13144700,-1
2018-10-25,580,570,525,570,10615100,-1
2018-10-26,580,570,565,570,12205100,-1
2018-10-29,600,580,560,570,33345800,-1
2018-10-30,600,585,580,580,34227100,-1
2018-10-31,605,600,575,590,26668500,-1
2018-11-01,605,575,575,600,13000500,-1
2018-11-02,590,575,570,580,12902600,-1
2018-11-05,575,570,570,575,11057900,-1
2018-11-06,575,570,560,570,14962200,-1
2018-11-07,570,560,555,570,15150700,-1
2018-11-08,570,535,525,560,33345200,-1
2018-11-09,540,520,515,535,12343100,-1
2018-11-12,525,510,500,520,10344000,-1
2018-11-13,510,500,496,505,9548900,-1
2018-11-14,525,515,500,505,28173000,-1
2018-11-15,530,520,510,515,17667100,-1
2018-11-16,525,510,510,520,7707700,-1
2018-11-19,530,515,500,500,21939000,-1
2018-11-21,535,530,500,515,28035800,-1
2018-11-22,555,535,530,535,19220300,-1
2018-11-23,545,545,525,540,10137100,-1
2018-11-26,550,530,530,545,11213400,-1
2018-11-27,535,525,515,530,18727500,-1
2018-11-28,535,520,515,525,12565400,-1
2018-11-29,530,520,510,520,13726700,-1
2018-11-30,530,530,510,520,12414200,-1
2018-12-03,535,530,520,530,12013500,-1
2018-12-04,540,520,515,530,11344200,-1
2018-12-05,520,505,505,520,12703100,-1
2018-12-06,520,510,505,505,13411500,-1
2018-12-07,520,515,505,510,9951300,-1
2018-12-10,550,545,515,515,28824900,-1
2018-12-11,575,555,545,545,54873700,-1
2018-12-12,575,560,555,560,35678900,-1
2018-12-13,565,555,555,560,9530700,-1
2018-12-14,560,555,545,555,14872700,-1
2018-12-17,585,565,555,555,37642900,-1
2018-12-18,585,580,555,555,20575600,-1
2018-12-19,595,580,570,580,26939100,-1
2018-12-20,585,580,575,580,13050100,-1
2018-12-21,610,600,580,580,46412300,-1
2018-12-26,605,600,595,600,21012000,-1
2018-12-27,620,610,600,600,22980300,-1
2018-12-28,625,615,610,610,22511400,-1
2019-01-02,620,615,580,620,14431000,-1
2019-01-03,610,595,595,610,11824100,-1
2019-01-04,620,620,585,595,24976300,-1
2019-01-07,620,600,600,620,12464200,-1
2019-01-08,600,580,580,600,9569600,-1
2019-01-09,595,565,565,575,19186800,-1
2019-01-10,585,575,565,570,15527600,-1
2019-01-11,595,585,580,585,14171800,-1
2019-01-14,590,590,575,585,12888100,-1
2019-01-15,625,610,585,590,33086700,-1
2019-01-16,625,605,605,610,12805400,-1
2019-01-17,620,595,595,605,14481200,-1
2019-01-18,605,585,585,600,11985700,-1
2019-01-21,610,600,585,585,15772800,-1
2019-01-22,620,610,600,605,23525900,-1
2019-01-23,625,610,605,620,9234800,-1
2019-01-24,615,600,600,610,13532800,-1
2019-01-25,600,595,585,600,11619700,-1
2019-01-28,605,590,590,595,11421500,-1
2019-01-29,605,595,580,590,10904200,-1
2019-01-30,605,600,585,595,12625800,-1
2019-01-31,600,595,590,600,9785700,-1
2019-02-01,605,600,590,595,11882000,-1
2019-02-04,620,615,595,600,26363000,-1
2019-02-06,640,630,610,615,56011700,-1
2019-02-07,690,680,630,630,85957000,-1
2019-02-08,710,695,670,680,47104400,-1
2019-02-11,735,705,685,700,36405400,-1
2019-02-12,720,690,675,700,24047600,-1
2019-02-13,730,725,690,690,48528200,-1
2019-02-14,730,705,700,730,9733800,-1
2019-02-15,720,700,695,700,10241500,-1
2019-02-18,715,715,695,700,10497000,-1
2019-02-19,785,765,715,715,56447500,-1
2019-02-20,775,750,750,760,15496200,-1
2019-02-21,805,780,740,750,47584500,-1
2019-02-22,835,815,780,780,44504400,-1
2019-02-25,860,825,810,820,42808800,-1
2019-02-26,845,845,810,825,26657500,-1
2019-02-27,910,880,850,850,61215800,-1
2019-02-28,950,900,875,890,46776900,-1
2019-03-01,905,885,885,905,10188100,-1
2019-03-04,890,845,840,885,50030100,-1
2019-03-05,875,875,815,845,41799800,-1
2019-03-06,920,880,855,880,42786900,-1
2019-03-08,880,875,865,880,14205900,-1
2019-03-11,875,860,850,875,11256700,-1
2019-03-12,880,880,855,865,25802900,-1
2019-03-13,920,875,840,885,39990000,-1
2019-03-14,890,870,865,875,5278600,-1
2019-03-15,895,890,860,870,15938400,-1
2019-03-18,900,890,885,890,12865000,-1
2019-03-19,895,895,880,895,15991300,-1
2019-03-20,915,900,880,895,26497700,-1
2019-03-21,960,920,895,895,79016600,-1
2019-03-22,940,920,915,925,15972300,-1
2019-03-25,935,900,860,915,45765900,-1
2019-03-26,905,880,880,900,10870500,-1
2019-03-27,895,870,855,880,17989900,-1
2019-03-28,885,865,865,865,17031000,-1
2019-03-29,880,880,840,865,21617100,-1
2019-04-01,885,825,820,880,18486100,-1
2019-04-02,850,835,800,825,21893000,-1
2019-04-04,860,860,835,835,17841700,-1
2019-04-05,870,845,845,860,9478200,-1
2019-04-08,865,840,835,850,13929000,-1
2019-04-09,850,840,830,840,8297000,-1
2019-04-10,845,840,835,840,6988700,-1
2019-04-11,845,830,820,840,8266400,-1
2019-04-12,840,815,815,830,8338000,-1
2019-04-15,825,800,800,815,13651900,-1
2019-04-16,805,795,780,800,8624800,-1
2019-04-18,815,785,785,800,6054100,-1
2019-04-22,785,760,755,785,7149900,-1
2019-04-23,790,765,760,760,10792900,-1
2019-04-24,805,800,765,765,17066100,-1
2019-04-25,830,805,790,800,17656300,-1
2019-04-26,825,825,800,805,9050500,-1
2019-04-29,865,850,820,825,28190700,-1
2019-04-30,880,835,790,850,31943100,-1
2019-05-02,840,835,805,835,9359900,-1
2019-05-03,845,840,815,830,14465900,-1
2019-05-06,875,870,820,840,27752800,-1
2019-05-07,895,890,855,870,53571200,-1
2019-05-08,930,920,890,895,73238700,-1
2019-05-09,980,980,915,920,49085800,-1
2019-05-10,1025,970,960,980,29332200,-1
2019-05-13,980,920,910,970,26469000,-1
2019-05-14,955,930,875,905,29296100,-1
2019-05-15,950,900,890,930,24229900,-1
2019-05-16,915,910,880,900,18470900,-1
2019-05-17,925,890,890,910,10880900,-1
2019-05-20,905,900,850,890,26204900,-1
2019-05-21,935,910,900,900,28732100,-1
2019-05-22,920,910,900,910,10942900,-1
2019-05-23,935,925,905,910,12915900,-1
2019-05-24,950,935,925,925,21781500,-1
2019-05-27,970,930,925,940,20012600,-1
2019-05-28,935,900,900,930,12964900,-1
2019-05-29,910,895,870,900,27167400,-1
2019-05-31,910,895,865,890,16816800,-1
2019-06-10,915,900,895,895,11880700,-1
2019-06-11,905,885,885,900,8336700,-1
2019-06-12,890,865,860,885,8874400,-1
2019-06-13,885,865,860,865,14234100,-1
2019-06-14,875,865,860,865,11540800,-1
2019-06-17,925,875,865,865,32072300,-1
2019-06-18,915,900,875,880,25931100,-1
2019-06-19,935,915,900,900,29083500,-1
2019-06-20,920,890,880,915,9495900,-1
2019-06-21,890,870,850,890,9791900,-1
2019-06-24,885,870,865,870,16181900,-1
2019-06-25,885,865,865,870,12520400,-1
2019-06-26,880,865,860,865,12090300,-1
2019-06-27,865,855,855,865,9159500,-1
2019-06-28,875,855,850,855,11515000,-1
2019-07-01,860,835,830,860,14062200,-1
2019-07-02,895,885,830,835,50569400,-1
2019-07-03,915,880,875,890,26286600,-1
2019-07-04,890,880,870,880,13554300,-1
2019-07-05,880,865,860,880,13463100,-1
2019-07-08,870,860,855,865,11231400,-1
2019-07-09,875,875,855,860,14809300,-1
2019-07-10,880,865,860,875,5495400,-1
2019-07-11,870,855,855,865,4500300,-1
2019-07-12,865,850,850,855,6937100,-1
2019-07-15,865,855,850,850,9287400,-1
2019-07-16,865,860,850,855,5952400,-1
2019-07-17,865,845,845,860,6381000,-1
2019-07-18,855,840,840,845,6960800,-1
2019-07-19,860,850,830,840,14261200,-1
2019-07-22,850,830,830,850,2160600,-1
2019-07-23,835,825,815,830,5330600,-1
2019-07-24,845,835,820,825,7405700,-1
2019-07-25,860,860,835,835,15107700,-1
2019-07-26,870,840,835,860,7021600,-1
2019-07-29,860,855,835,840,10290700,-1
2019-07-30,860,845,845,855,6233800,-1
2019-07-31,850,850,820,845,9887700,-1
2019-08-01,850,845,825,850,8004700,-1
2019-08-02,850,835,830,845,6705200,-1
2019-08-05,845,830,800,835,11389900,-1
2019-08-06,830,810,810,830,7429100,-1
2019-08-07,845,820,805,810,14240500,-1
2019-08-08,835,820,820,820,7882600,-1
2019-08-09,835,815,815,820,10024400,-1
2019-08-12,830,805,805,815,6967000,-1
2019-08-13,855,850,800,805,40559400,-1
2019-08-14,865,845,835,855,26105200,-1
2019-08-15,855,850,815,840,10237700,-1
2019-08-16,860,820,820,850,10359500,-1
2019-08-19,840,825,820,825,7754500,-1
2019-08-20,830,805,805,825,9240400,-1
2019-08-21,825,810,800,805,13421700,-1
2019-08-22,820,815,805,810,7017000,-1
2019-08-23,820,805,805,815,6911600,-1
2019-08-26,810,800,800,805,6554700,-1
2019-08-27,805,795,790,800,7497200,-1
2019-08-28,810,790,790,795,8349900,-1
2019-08-29,815,800,790,790,8389600,-1
2019-08-30,815,800,795,800,6971300,-1
2019-09-02,810,800,780,795,8483500,-1
2019-09-03,810,780,780,800,7959600,-1
2019-09-04,805,785,760,780,17766700,-1
2019-09-05,790,770,770,785,6182700,-1
2019-09-06,790,790,735,735,44600400,-1
2019-09-09,810,800,785,790,40166600,-1
2019-09-10,825,805,800,800,17634500,-1
2019-09-11,840,815,805,830,26011900,-1
2019-09-12,830,825,815,815,16700500,-1
2019-09-13,845,840,820,825,17013600,-1
2019-09-16,855,830,825,840,8750000,-1
2019-09-17,830,810,810,830,7450200,-1
2019-09-18,825,820,800,810,10226900,-1
2019-09-19,835,830,810,820,18454200,-1
2019-09-20,835,810,810,830,6519200,-1
2019-09-23,830,830,805,805,66936700,-1
2019-09-24,845,820,820,830,12225700,-1
2019-09-25,820,795,795,820,10378700,-1
2019-09-26,810,810,795,795,5809400,-1
2019-09-27,815,805,790,810,3979800,-1
2019-09-30,820,800,790,805,5075600,-1
