date,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_5000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_10000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_30000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_50000_sum_loss_True
2020-07-10,2.6188514659573774,2.6188514659562347,1.5459767317334896,1.306393339616757
2020-07-13,2.564574751637017,2.5645747516358983,1.5325901767025782,1.3107131636821043
2020-07-14,2.5941361764007844,2.594136176399653,1.5524509565302576,1.3125981778197104
2020-07-15,2.6081899685015917,2.608189968500454,1.5667137224359196,1.3064718818724907
2020-07-16,2.5759631693738783,2.5759631693727543,1.5615538139512775,1.312676720075444
2020-07-17,2.588563120912533,2.5885631209114037,1.5660809034708219,1.3099277411247685
2020-07-20,2.654712866490472,2.6547128664893136,1.5787372827727741,1.3131479736098455
2020-07-21,2.628059122851009,2.628059122849862,1.5820960911259847,1.3139333961671813
2020-07-22,2.6491398110022204,2.6491398110010644,1.5911015917831433,1.3178605089538609
2020-07-23,2.5803246910603352,2.5803246910592095,1.5721170228302146,1.333254791077644
2020-07-24,2.549067118974057,2.5490671189729444,1.5619919193886524,1.3331762488219105
2020-07-27,2.589290041193609,2.5892900411924793,1.5733826607604098,1.3282280867106948
2020-07-28,2.559001696148765,2.5590016961476487,1.5634035924646397,1.3374175306315244
2020-07-29,2.596074630483654,2.596074630482521,1.5826315533272213,1.3351398052152503
2020-07-30,2.610613036105179,2.61061303610404,1.5769848610232733,1.3439365378574122
2020-07-31,2.675793554641683,2.6757935546405154,1.589446526797503,1.3430725730443427
2020-08-03,2.741700993459263,2.7417009934580667,1.6004965194957463,1.334825636192316
2020-08-04,2.7487278895096665,2.748727889508467,1.6066786740009307,1.3475494816211573
2020-08-05,2.7589047734447343,2.7589047734435304,1.616657742296701,1.3357681432611193
2020-08-06,2.797673855102134,2.7976738551009137,1.6274643430852909,1.3432296575558103
2020-08-07,2.7559970923204293,2.7559970923192267,1.6286326242516247,1.3342758404021813
2020-08-10,2.7482432759889495,2.7482432759877504,1.6335004624446836,1.3283066289664285
2020-08-11,2.6988126968757644,2.6988126968745867,1.6200165506499113,1.3124803644361107
2020-08-12,2.7601163072465287,2.7601163072453243,1.6426033198657035,1.3005812126924725
2020-08-13,2.761327841048322,2.7613278410471174,1.6396339385679377,1.2866792334276276
2020-08-14,2.7593893869654527,2.7593893869642487,1.6396826169498684,1.2816525290606782
2020-08-17,2.7778047007527182,2.7778047007515063,1.6448912038164414,1.2848727615457551
2020-08-18,2.788223891448144,2.7882238914469277,1.648444725697374,1.2940622054665847
2020-08-19,2.784831596803122,2.784831596801907,1.6415810738451615,1.2859723531260252
2020-08-20,2.821904531138011,2.8219045311367794,1.646692303947873,1.2975966069745966
2020-08-21,2.8577659316711057,2.8577659316698587,1.6525337097795434,1.3053722902922213
2020-08-24,2.8824812212276982,2.8824812212264406,1.6692790731636653,1.303251649387415
2020-08-25,2.8970196268492234,2.897019626847959,1.6751204789953356,1.2932767829092493
