date,model_1
2018-06-08,1.290634937606932
2018-06-15,1.2944273158902213
2018-06-22,1.2895522937286994
2018-06-29,1.275518411671263
2018-07-06,1.2855652173703978
2018-07-13,1.3055397006790617
2018-07-20,1.3093719991930397
2018-07-27,1.3060914621879025
2018-08-03,1.2960109245570655
2018-08-10,1.3117609775600125
2018-08-17,1.3126793500547442
2018-08-24,1.3244295453028867
2018-08-31,1.3384000202004924
2018-09-07,1.3241619653712282
2018-09-14,1.3235272105214555
2018-09-21,1.3200217695312784
2018-09-28,1.320617955712228
2018-10-05,1.3121989722812886
2018-10-12,1.2702130542536965
2018-10-19,1.2651726745561012
2018-10-26,1.2460526886400327
2018-11-02,1.2394977730845522
2018-11-09,1.2559404673782142
2018-11-16,1.2413053839844053
2018-11-23,1.2175140432742482
