date,2021_11_12__18_11_53_daily_0_lr_1e-06_crit_lr_9.999999999999999e-06_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_1_lr_1e-05_crit_lr_0.0001_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_2_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_3_lr_0.001_crit_lr_0.01_epoch_1000_gamma_1.0_lmbda_0.0
2015-04-02,1.0233745875121005,1.0109031883557682,1.0179625989157342,1.0179656114790183
2015-04-06,1.0302901698699405,1.0052582765230398,1.0278051186103556,1.027807488860946
2015-04-07,1.027563549759337,1.0136869805580178,1.0255905516844734,1.0255930620353333
2015-04-08,1.0310089455247111,1.013996290820291,1.0287893705878586,1.0287917926056285
2015-04-09,1.0355944231150174,1.0008506057446023,1.03149606351818,1.0314984039300847
2015-04-10,1.0412458365053814,1.0023198296886495,1.035433071463072,1.0354358777434567
2015-04-13,1.036536398279793,1.0037117264762572,1.0324803157270432,1.0324826425634956
2015-04-14,1.0385193938892934,1.0108258620601136,1.0292814968441182,1.029285116674655
2015-04-15,1.0431793269230194,1.009975259020849,1.0383858275854405,1.0383881066877594
2015-04-16,1.0428818036748793,1.0049489680840054,1.0346948828064235,1.0346982732560426
