,minVol,maxSharpe,SPY
2018-07-05,1.1624460353813242,1.277577673160408,1.3539064049177079
2018-07-06,1.1692429918029033,1.287123458241501,1.3653579218719016
2018-07-09,1.1789498375527574,1.2969045821853566,1.3776521911560577
2018-07-10,1.1824706052303382,1.2999838249084223,1.382609557802895
2018-07-11,1.175839427635565,1.294912131011608,1.3724965298433474
2018-07-12,1.1904623786451658,1.3153800385237515,1.3849395201269086
2018-07-13,1.190275393453143,1.3139309831246617,1.3860301407892126
2018-07-16,1.1883485155018272,1.3108517404015958,1.3847907991275032
2018-07-17,1.1951856221790715,1.3206328643454517,1.3903926234384296
2018-07-18,1.1954591685133233,1.3184592812468172,1.3933174697600634
2018-07-19,1.1910698274300733,1.3137498511997752,1.388062661114416
2018-07-20,1.1905534336414658,1.3141121150495474,1.3864763037874281
2018-07-23,1.1840851551898173,1.3093559545858127,1.3890541344437835
2018-07-24,1.1890738617814611,1.3151976737554,1.396044021415824
2018-07-25,1.1930331576526856,1.322405068212193,1.4079417013682332
2018-07-26,1.1904847846324862,1.3109791904083912,1.404620265714852
2018-07-27,1.1875865288831782,1.3008696694381972,1.395102121752925
2018-07-30,1.1752287766294183,1.2805916731992164,1.387814792782074
2018-07-31,1.1797038852916057,1.2840316904183293,1.3946559587547094
2018-08-01,1.184041430429492,1.295619116840604,1.392325996430696
2018-08-02,1.1947122560219012,1.3119139352469276,1.3999107674003568
2018-08-03,1.1994152652288361,1.3166213272309768,1.40590918104303
2018-08-06,1.2048307289703561,1.3236824152070505,1.4110648423557406
2018-08-07,1.2091273134999414,1.3287519142667958,1.4157247670037676
2018-08-08,1.2105208142434014,1.3323729850237567,1.415129883006147
2018-08-09,1.2099406407620057,1.3329161456373007,1.4131965100138806
2018-08-10,1.2010389650934457,1.322233986904266,1.4037279397184217
2018-08-13,1.1979686489729588,1.3204234515257858,1.3984731310727743
2018-08-14,1.2054865110206359,1.3285708607289475,1.407396391037081
2018-08-15,1.1955643357018297,1.3166213272309766,1.3968867737457862
2018-08-16,1.2030317461844382,1.3224150404421142,1.408189569700575
2018-08-17,1.2060552098481678,1.3244066293584427,1.4131469363474123
2018-08-20,1.2064388204157244,1.3224150404421142,1.4161709300019831
2018-08-21,1.208844639731478,1.3245876828962906,1.4194923656553637
2018-08-22,1.2103033573402424,1.3285708607289477,1.4186496133254016
2018-08-23,1.210819278560847,1.3314677173345166,1.4167658139996036
2018-08-24,1.2205548444018948,1.344865679135272,1.4252924846321633
2018-08-27,1.2309600304507076,1.3571773197089387,1.4365457069204837
2018-08-28,1.2323247856197994,1.3595310157009635,1.4372397382510411
2018-08-29,1.241220072174878,1.3718426562746304,1.4449732302201073
2018-08-30,1.2368237902219554,1.3676784249041256,1.4391235375768392
2018-08-31,1.2373362856599963,1.3687647461312136,1.4391731112433075
2018-09-04,1.2338975575608682,1.3635141935336204,1.436694427919889
2018-09-05,1.2245364946287847,1.3464951609759044,1.4328276819353558
2018-09-06,1.2182478504216752,1.3367182699321098,1.4285147729526078
2018-09-07,1.215001510948283,1.3321919314859088,1.4257386476303788
2018-09-10,1.2179566225242557,1.3363561628564138,1.4282173309537975
2018-09-11,1.2251625989151118,1.3477625357408407,1.4329268292682928
2018-09-12,1.222759898793722,1.3421498760675512,1.4332738449335714
2018-09-13,1.2335511451962358,1.3579015338603313,1.4417509418996628
2018-09-14,1.2331637618685423,1.356815212633243,1.4419988102320047
2018-09-17,1.2221653916488653,1.3404745464899228,1.4343644655958754
2018-09-18,1.2293624141917594,1.3489028333909563,1.44214753123141
2018-09-19,1.2284491569391043,1.3457977945864392,1.4436843148919296
2018-09-20,1.240703492649706,1.361394103720227,1.455383700178465
2018-09-21,1.2328041677206327,1.35161037211249,1.447501487209994
2018-09-24,1.2338132729056506,1.357589103025817,1.442692841562562
2018-09-25,1.2325004392149448,1.3559834974580156,1.441354352567916
2018-09-26,1.228352410719308,1.3509792101849822,1.4370414435851675
2018-09-27,1.2336905800138882,1.358675191596318,1.4410569105691058
2018-09-28,1.2360555949745724,1.36342535627518,1.441205631568511
2018-10-01,1.2411562437173955,1.3699411285871281,1.4462125718818164
2018-10-02,1.2408766032983833,1.3701221222624602,1.445369819551854
2018-10-03,1.2431021658891337,1.3742849767950938,1.446162998215348
2018-10-04,1.227029695233905,1.3494888432746237,1.4348602022605592
2018-10-05,1.2158610801062937,1.3324754377934254,1.4268292682926829
2018-10-08,1.2090072041453577,1.3191644733236148,1.4268292682926829
2018-10-09,1.2102843231025164,1.3231202764175698,1.4247471743010112
2018-10-10,1.1617984292644616,1.2615339194855164,1.3796351378147929
2018-10-11,1.1416489879549268,1.244216617632596,1.3492464802696809
2018-10-12,1.1678751373317746,1.281525847112891,1.3679853261947252
2018-10-15,1.155031897147452,1.2605379891056772,1.3603014078921276
2018-10-16,1.1850673394841547,1.2985332492911503,1.390045607773151
2018-10-17,1.182448515599393,1.2925625655477189,1.3902934761054928
2018-10-18,1.1623244589921609,1.267232392090737,1.370216141185802
2018-10-19,1.1617601397614057,1.2666896026595158,1.3694725361887765
2018-10-22,1.163965069307637,1.27646450565524,1.3633254015466985
2018-10-23,1.1587763293218531,1.2715103459929602,1.3563850882411264
2018-10-24,1.1152678575925121,1.2153719029082624,1.315288518738846
