date,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino
2017-02-07,1.0483394188546407,1.0896565379787562,1.1302833156266943,1.1274326461765476,1.1716712472923796,1.0949051956263072
2017-02-08,1.05386908430531,1.0946390102730599,1.1347023152220561,1.1316311277346858,1.176244209856562,1.0990394178273577
2017-02-09,1.0626704882686422,1.1012349086535085,1.140469256802207,1.1369724219928279,1.1795072325871983,1.1037677241543615
2017-02-10,1.057889358921245,1.0993074461525056,1.1400737383440618,1.137148051806876,1.1819331494828957,1.1043063134720104
2017-02-13,1.0591619816767661,1.1013157475584572,1.142574260653134,1.1397870674307684,1.185130549981974,1.1069386185002552
2017-02-14,1.0597125163126355,1.1033814551498564,1.1454809977199547,1.1429666593357848,1.1897424828011325,1.110277867183035
2017-02-15,1.0571307978928008,1.1029408381581196,1.1459930927294992,1.1438576221913879,1.1926672629186479,1.1115768087969875
2017-02-16,1.0562913698859178,1.103767794884402,1.1477494262033994,1.145930402674704,1.1959723820668597,1.1138220335004532
2017-02-17,1.0601379716890187,1.1070625238760023,1.150511811514625,1.1485036781265907,1.1987408730212614,1.1163665454174796
2017-02-21,1.0649803977647772,1.1115710173999755,1.154752828621254,1.1526041611934488,1.2029586660668945,1.1203534921417113
2017-02-22,1.0665832356343912,1.1146192589671007,1.1586438556981549,1.1567388778445828,1.2084924395888987,1.1246092794479863
2017-02-23,1.067797821614456,1.1157462491660446,1.1595320371529128,1.1575498705852811,1.2097165199601838,1.1255013977345942
2017-02-24,1.0696006380906886,1.116953808296144,1.1606342089447357,1.1585572136954811,1.2099082758416657,1.1262833130436556
2017-02-27,1.0770653904473173,1.1228168418277433,1.1659141419561176,1.1634604875330947,1.213473530006842,1.1307483990750447
2017-02-28,1.0737172196995202,1.1204470580306847,1.1641237625427108,1.1619457347824738,1.2124491282848768,1.1293117429438728
2017-03-01,1.0738067304539785,1.118859245491035,1.1620101133415468,1.15960480698248,1.2077996543134588,1.1265781032166726
2017-03-02,1.06927611666443,1.1213287034801376,1.1673312914899339,1.1661232392073366,1.2213885716086998,1.134437241262201
2017-03-03,1.0638916579071083,1.1151105831977424,1.1606754369416379,1.1593890798642044,1.213661327710553,1.127729695395284
2017-03-06,1.066217040379146,1.1174687064545321,1.1629286047244867,1.1615695660832495,1.2162812503586322,1.1299208897015558
2017-03-07,1.0626253270561978,1.1142809148456199,1.1596902005858905,1.1583848885115902,1.2139517158133264,1.127049903205099
2017-03-08,1.06057136218159,1.112652021395237,1.157867163192376,1.1565483232088067,1.2133681388941344,1.1255778849542635
2017-03-09,1.0579340628442238,1.1110234729602757,1.1562588066941042,1.155046256900899,1.213844375609214,1.1246359653243965
2017-03-10,1.053884275196581,1.1082650796723803,1.1540432140794867,1.153141328849559,1.2130431344515966,1.123123352022651
2017-03-13,1.0582306350829604,1.1131611123837828,1.1590578811324603,1.1581569764476156,1.2191202648291701,1.1282028346494677
2017-03-14,1.055057745731841,1.1111509775787047,1.157479913880546,1.1568158549408565,1.2193844136319356,1.1272032759914663
2017-03-15,1.0564474772861936,1.1111873250729574,1.1567728866625955,1.1559063749895946,1.217196771447704,1.1259608597182051
2017-03-16,1.0670503324634961,1.1213629388414355,1.1671899837556763,1.1660540258839636,1.2263238991681058,1.1355061543531315
