date,2021_11_18__14_55_07_daily_lr_0.001_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_0.0001_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_1e-05_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_0.001_epoch_10000_metric_sortino,2021_11_18__14_55_07_daily_lr_0.0001_epoch_10000_metric_sortino,2021_11_18__14_55_07_daily_lr_1e-05_epoch_10000_metric_sortino
2017-05-31,1.3663127413176297,1.2989390507277239,1.2600937126284062,1.366296952282068,1.2641907901381821,1.1763177067727806
2017-06-01,1.3641409266458144,1.2969440663920404,1.2591824210123674,1.3641253235337614,1.262461555123939,1.176353485847104
2017-06-02,1.3675193050242145,1.3001565436471219,1.264305010666761,1.3675041341627694,1.2663563279531425,1.180410336152874
2017-06-05,1.3800675675725331,1.3120338935194997,1.2735089902476684,1.3800520372517766,1.2775243855805656,1.1893500907481163
2017-06-06,1.3812741312791172,1.3131540089817455,1.2735183987759902,1.3812583443219142,1.2783714201578347,1.1873914210916392
2017-06-07,1.378619691124684,1.3106261515345647,1.2704903705316837,1.3786038624972416,1.2760657743755135,1.1868387400569596
2017-06-08,1.3829633204683458,1.3147551133945805,1.2731110188014745,1.382947336546242,1.2781281722243885,1.1874712159277945
2017-06-09,1.386100386105441,1.3177330473978446,1.2745663971370398,1.3860843167552162,1.2801595111555368,1.1879915301677992
2017-06-12,1.3518339768389263,1.285670296928118,1.255944888333784,1.351819139463445,1.2530561021703654,1.1745612525934594
2017-06-13,1.343870656375595,1.2781428356582143,1.2515951900754854,1.3438560077417117,1.2494571482917203,1.1716042486015326
2017-06-14,1.3535231660281577,1.2872829768831355,1.2591396853323136,1.3535083297496797,1.2533269195647543,1.1767720922412543
2017-06-15,1.3470077220127121,1.281212886935586,1.2550042460323825,1.346993026433879,1.2476511907216778,1.1790814910643714
2017-06-16,1.3409749034798928,1.275522586616629,1.2508733972391781,1.3409604409945521,1.242149435866152,1.1759051523370732
2017-06-19,1.3332528957578735,1.2699900301651819,1.2444933629360126,1.333238513068925,1.2351072555969598,1.17206790986028
2017-06-20,1.3530405405456085,1.286671208452033,1.2602215739835678,1.3530254246238935,1.2524102288104546,1.1817558084614224
2017-06-21,1.3421814671865102,1.2763451111496191,1.2523279991601386,1.3421665149391644,1.2424808018218816,1.1781795230859702
2017-06-22,1.3496621621672495,1.2834481871737793,1.2560879501057,1.3496466969539624,1.2486261261825253,1.1810207811093023
2017-06-23,1.350144787649886,1.283905314774719,1.256144805733502,1.3501293502334206,1.2489764994200667,1.1816480141532535
2017-06-26,1.3585907335958685,1.2919252382031259,1.26089278148691,1.3585748292147597,1.2564404208177862,1.1845574225835125
2017-06-27,1.351351351356462,1.2850433831576806,1.2579853951104079,1.351335944771497,1.2498505866526546,1.1839247482157502
2017-06-28,1.329150579155608,1.2639367513613378,1.2410947849528804,1.3291356253160727,1.2295668149973238,1.170218211118163
2017-06-29,1.3458011583062504,1.2792579372661554,1.2547623464818927,1.34578598713638,1.2445940005972966,1.178295984849805
2017-06-30,1.3216698841748866,1.2652323855484409,1.2370340982666626,1.3216550672949845,1.2231976416627646,1.1644288056036192
2017-07-03,1.3204633204683187,1.2641809189079354,1.2370886366608413,1.3204484955164146,1.2221521273604137,1.1642175204572878
2017-07-05,1.3112934362984006,1.2557423047490588,1.2318895526772307,1.3112786734665565,1.2141011725644613,1.1606495492576447
2017-07-06,1.3243243243293383,1.2681180487846033,1.239917454491804,1.3243093225215141,1.2259539631574392,1.165673523085343
2017-07-07,1.312258687263656,1.2565645156699279,1.2286668067265505,1.3122437865823804,1.2147927266892067,1.1552966526751791
2017-07-10,1.3274613899664167,1.2711200823623985,1.239967042714633,1.3274461368464534,1.2279072803740125,1.160950133632679
2017-07-11,1.3371138996189633,1.2803626203565552,1.2457003433214315,1.3370983394824143,1.2357543544564664,1.1647402511742264
2017-07-12,1.3400096525147276,1.2831351641440336,1.2472116646789757,1.3399940171275888,1.2379782413768592,1.1657694902414086
2017-07-13,1.3573841698893108,1.2997412074441443,1.2605643693564978,1.3573682628326855,1.253327676699036,1.1764686689285249
2017-07-14,1.360038610043761,1.3022685685661939,1.262104165265478,1.3600227245692829,1.2557636898576368,1.1760675990462657
2017-07-17,1.3721042471094438,1.3137536811145998,1.2707232006692772,1.3720881774210476,1.266570645940739,1.1822672427350664
2017-07-18,1.3723455598507572,1.313981832155981,1.2708959381869476,1.3723295341580979,1.2667798065006932,1.183142211211886
2017-07-19,1.3786196911249122,1.3242309326701147,1.2751733483162486,1.3786036118258707,1.272340067554091,1.1879498759928624
2017-07-20,1.3856177606230082,1.3307792017858187,1.2816582225275985,1.3856016645976648,1.2788027304441532,1.192666175989323
2017-07-21,1.388513513518772,1.3335399565797377,1.2836062244488362,1.3884973909165268,1.2813814059896709,1.194631200322493
2017-07-24,1.3868243243295764,1.3319250732314059,1.282349683146122,1.38680822139506,1.2799562413944343,1.1950596585981554
2017-07-25,1.3902027027079675,1.335099777244448,1.283992115938299,1.3901865697825062,1.2825695195792086,1.1947961955594513
2017-07-26,1.3875482625535176,1.3326202300888708,1.2827923733632387,1.3875322445018345,1.280540211866541,1.1910148440497048
2017-07-27,1.392857142862418,1.3376623786982047,1.2854782412930166,1.392840991051518,1.284947585478646,1.1932180541444928
2017-07-28,1.3875482625535176,1.3326031221641625,1.2822008703257022,1.3875321707957264,1.2804760414056722,1.1896195273485648
2017-07-31,1.3861003861056356,1.3324442506992513,1.2811181552849928,1.3860843044148032,1.279191879621241,1.1905147916509513
2017-08-01,1.379343629348853,1.3265016205111706,1.2773916837327233,1.3793277007532756,1.2736762093509433,1.1884846753061462
2017-08-02,1.3863416988469492,1.3331400650902772,1.2822594887578942,1.3863255739306193,1.2797057849192568,1.1931145294914556
2017-08-03,1.3902027027079678,1.3357536792823277,1.2844417971251798,1.3901864728684603,1.2829164527071069,1.194639222186446
2017-08-04,1.3870656370708903,1.3327583971805192,1.28306728485646,1.3870495174508828,1.2802032676285402,1.1958025332724245
2017-08-07,1.3902027027079684,1.3357570909768501,1.2845296523728014,1.3901865259844093,1.282898177124187,1.1951626014947185
2017-08-08,1.3986486486539473,1.3438068813985304,1.2896634329033467,1.3986322466764687,1.2899987089986769,1.1988545535634745
2017-08-09,1.3967181467234389,1.3407236907837776,1.2870917427177615,1.3967016693318677,1.2880394914732927,1.1960014581564344
2017-08-10,1.395994208499499,1.3401534240128583,1.2873456811943806,1.3959777329709466,1.2874944853874335,1.1974464556511915
2017-08-11,1.368484555989743,1.3142528743975703,1.2679816611570143,1.368468403144875,1.2631033137527574,1.1854652514202586
2017-08-14,1.377895752900976,1.3231782734474504,1.273320209317678,1.3778794151433,1.2710156951017606,1.189060212187673
2017-08-15,1.3998552123605192,1.3432106827228554,1.2890834536017584,1.3998385660317167,1.2902202616550726,1.1985258760249744
2017-08-16,1.4020270270323432,1.345245322712685,1.2897460478785414,1.402010289383965,1.291901511277262,1.1977580326675727
2017-08-17,1.4061293436346762,1.3491676893156328,1.2930111480488422,1.4061125048978842,1.2955159440689397,1.2009345772521194
2017-08-18,1.3786196911249204,1.322836125401167,1.271555367045795,1.3786033255873662,1.2709498050222927,1.1879319404251607
2017-08-21,1.377171814677039,1.3214366603289196,1.2700353332858327,1.3771554454820576,1.2695535167231373,1.1866971153101638
2017-08-22,1.3766891891944126,1.321046709637948,1.2701994188553087,1.3766729095309238,1.2693157691944554,1.1876917719001416
2017-08-23,1.3972007722060744,1.3404416781690767,1.286434440961944,1.3971841118128419,1.2872966648562267,1.197578968542327
2017-08-24,1.3938223938276841,1.3384130100239946,1.2830360065332889,1.3938056814932265,1.284127132106519,1.1967990718924275
2017-08-25,1.3926158301211167,1.3372081545280001,1.2811929597925433,1.3925990855160721,1.2827553209616158,1.1942034912631965
